,tourney_date,p1_id,p1_name,p2_id,p2_name,p1_hand,p1_ht,p1_age,p2_hand,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,win
18103,20171030,105376,Peter Gojowczyk,106233,Dominic Thiem,1,185.0,28.2929500342,1,185.0,24.156057494899997,3,6.0,5.0,106.0,54.0,46.0,22.0,16.0,3.0,6.0,13.0,6.0,93.0,56.0,47.0,21.0,16.0,0.0,1.0,2
18102,20171030,104731,Kevin Anderson,104269,Fernando Verdasco,1,203.0,31.4524298426,0,188.0,33.957563312800005,3,11.0,5.0,106.0,66.0,53.0,16.0,17.0,3.0,5.0,5.0,8.0,103.0,70.0,57.0,16.0,17.0,5.0,6.0,2
18101,20171030,103852,Feliciano Lopez,106298,Lucas Pouille,0,188.0,36.1095140315,1,185.0,23.6824093087,3,8.0,2.0,57.0,40.0,27.0,7.0,9.0,1.0,3.0,14.0,1.0,45.0,25.0,23.0,17.0,10.0,0.0,0.0,2
18100,20171030,105936,Filip Krajinovic,105216,Yuichi Sugita,1,185.0,25.6728268309,1,173.0,29.1143052704,3,6.0,1.0,50.0,29.0,23.0,14.0,9.0,1.0,1.0,4.0,1.0,51.0,30.0,18.0,11.0,9.0,1.0,4.0,1
18096,20171030,104678,Viktor Troicki,106043,Diego Schwartzman,1,193.0,31.718001368899998,1,170.0,25.2046543463,3,5.0,2.0,59.0,36.0,25.0,9.0,10.0,3.0,6.0,1.0,1.0,46.0,24.0,21.0,15.0,9.0,0.0,0.0,2
18098,20171030,105449,Steve Johnson,104898,Robin Haase,1,188.0,27.8494182067,1,190.0,30.5681040383,3,2.0,1.0,52.0,31.0,15.0,9.0,8.0,2.0,7.0,4.0,0.0,39.0,26.0,22.0,7.0,7.0,1.0,1.0,2
18097,20171030,103893,Paolo Lorenzi,105311,Joao Sousa,1,183.0,35.8740588638,1,185.0,28.5859000684,3,5.0,4.0,73.0,39.0,27.0,13.0,11.0,6.0,11.0,7.0,1.0,67.0,37.0,26.0,16.0,11.0,2.0,5.0,2
18095,20171030,104755,Richard Gasquet,105332,Benoit Paire,1,185.0,31.3675564682,1,196.0,28.4791238877,3,1.0,2.0,76.0,39.0,30.0,27.0,15.0,2.0,4.0,7.0,2.0,87.0,46.0,37.0,20.0,14.0,8.0,11.0,1
18094,20171030,105173,Adrian Mannarino,103970,David Ferrer,0,183.0,29.3360711841,1,175.0,35.5783709788,3,3.0,1.0,65.0,37.0,25.0,17.0,9.0,6.0,7.0,3.0,8.0,69.0,33.0,22.0,15.0,9.0,6.0,10.0,1
18093,20171030,104871,Jeremy Chardy,104468,Gilles Simon,1,188.0,30.71321013,1,183.0,32.8405201916,3,4.0,3.0,51.0,35.0,25.0,7.0,8.0,5.0,6.0,0.0,4.0,52.0,28.0,16.0,7.0,7.0,7.0,12.0,1
18092,20171030,105992,Ryan Harrison,105376,Peter Gojowczyk,1,183.0,25.4811772758,1,185.0,28.2929500342,3,5.0,2.0,67.0,41.0,28.0,14.0,10.0,6.0,8.0,4.0,6.0,75.0,35.0,31.0,17.0,11.0,3.0,4.0,2
18091,20171030,103852,Feliciano Lopez,105732,Pierre Hugues Herbert,0,188.0,36.1095140315,1,188.0,26.6201232033,3,10.0,6.0,79.0,46.0,35.0,19.0,11.0,3.0,4.0,11.0,6.0,68.0,33.0,25.0,18.0,10.0,1.0,3.0,1
