,tourney_date,p1_id,p1_name,p2_id,p2_name,p1_hand,p1_ht,p1_age,p2_hand,p2_ht,p2_age,best_of,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,win
15652,20160620,105577,Vasek Pospisil,105449,Steve Johnson,1,193.0,25.993155373,1,188.0,26.4887063655,3,6.0,2.0,74.0,41.0,29.0,19.0,12.0,0.0,1.0,12.0,1.0,75.0,54.0,46.0,10.0,12.0,2.0,3.0,2
15644,20160620,103607,Victor Estrella,104269,Fernando Verdasco,1,173.0,35.882272416199996,0,188.0,32.5968514716,3,0.0,2.0,78.0,57.0,31.0,12.0,13.0,5.0,10.0,6.0,3.0,69.0,49.0,36.0,12.0,13.0,2.0,4.0,2
15660,20160620,105449,Steve Johnson,104655,Pablo Cuevas,1,188.0,26.4887063655,1,180.0,30.466803559200002,3,10.0,3.0,73.0,51.0,40.0,13.0,12.0,0.0,1.0,8.0,3.0,81.0,44.0,33.0,16.0,12.0,1.0,3.0,1
15659,20160620,104312,Andreas Seppi,105449,Steve Johnson,1,190.0,32.3285420945,1,188.0,26.4887063655,3,3.0,4.0,67.0,43.0,31.0,11.0,10.0,1.0,3.0,11.0,2.0,61.0,40.0,35.0,8.0,10.0,1.0,1.0,2
15657,20160620,104731,Kevin Anderson,105449,Steve Johnson,1,203.0,30.0917180014,1,188.0,26.4887063655,3,21.0,4.0,97.0,65.0,53.0,16.0,17.0,4.0,6.0,13.0,2.0,101.0,68.0,53.0,20.0,17.0,2.0,4.0,2
15656,20160620,104534,Dudi Sela,104312,Andreas Seppi,1,175.0,31.2114989733,1,190.0,32.3285420945,3,1.0,2.0,94.0,51.0,38.0,26.0,16.0,5.0,7.0,4.0,3.0,91.0,56.0,42.0,21.0,16.0,0.0,1.0,2
15655,20160620,104180,Gilles Muller,105238,Alexandr Dolgopolov,0,193.0,33.117043121100004,1,180.0,27.6167008898,3,14.0,2.0,55.0,34.0,31.0,7.0,10.0,0.0,1.0,3.0,2.0,58.0,37.0,21.0,13.0,9.0,6.0,9.0,1
15653,20160620,104269,Fernando Verdasco,104731,Kevin Anderson,0,188.0,32.5968514716,1,203.0,30.0917180014,3,9.0,6.0,70.0,41.0,34.0,13.0,10.0,4.0,5.0,18.0,0.0,59.0,43.0,40.0,11.0,11.0,0.0,0.0,2
15658,20160620,104180,Gilles Muller,104655,Pablo Cuevas,0,193.0,33.117043121100004,1,180.0,30.466803559200002,3,24.0,5.0,92.0,50.0,44.0,25.0,16.0,3.0,4.0,13.0,3.0,90.0,59.0,50.0,16.0,15.0,4.0,5.0,2
15651,20160620,103794,Benjamin Becker,104534,Dudi Sela,1,178.0,35.0116358658,1,175.0,31.2114989733,3,5.0,7.0,81.0,49.0,41.0,9.0,13.0,5.0,8.0,4.0,2.0,99.0,57.0,36.0,24.0,14.0,10.0,13.0,2
15649,20160620,104180,Gilles Muller,104022,Mikhail Youzhny,0,193.0,33.117043121100004,1,183.0,33.987679671500004,3,19.0,3.0,116.0,67.0,54.0,24.0,17.0,9.0,11.0,4.0,5.0,103.0,69.0,50.0,17.0,16.0,7.0,10.0,1
15648,20160620,105238,Alexandr Dolgopolov,104433,Frank Dancevic,1,180.0,27.6167008898,1,185.0,31.7316906229,3,12.0,3.0,65.0,44.0,34.0,9.0,11.0,6.0,8.0,0.0,0.0,63.0,44.0,27.0,9.0,10.0,7.0,11.0,1
15647,20160620,104571,Marcos Baghdatis,105023,Sam Querrey,1,183.0,31.0088980151,1,198.0,28.7036276523,3,10.0,5.0,90.0,50.0,39.0,21.0,14.0,3.0,6.0,12.0,3.0,94.0,54.0,41.0,24.0,15.0,0.0,2.0,1
15646,20160620,105554,Daniel Evans,104655,Pablo Cuevas,1,175.0,26.078028747399998,1,180.0,30.466803559200002,3,4.0,4.0,103.0,60.0,47.0,23.0,17.0,3.0,6.0,13.0,0.0,116.0,67.0,49.0,29.0,17.0,7.0,9.0,2
15650,20160620,105173,Adrian Mannarino,104312,Andreas Seppi,0,183.0,27.9753593429,1,190.0,32.3285420945,3,5.0,1.0,51.0,37.0,24.0,3.0,8.0,2.0,6.0,5.0,1.0,72.0,46.0,29.0,17.0,9.0,5.0,6.0,2
15645,20160620,104731,Kevin Anderson,104471,Ivan Dodig,1,203.0,30.0917180014,1,183.0,31.463381245700003,3,21.0,5.0,102.0,56.0,46.0,27.0,16.0,0.0,0.0,12.0,4.0,90.0,62.0,50.0,10.0,14.0,1.0,3.0,1
15590,20160613,105676,David Goffin,104660,Sergiy Stakhovsky,1,163.0,25.5167693361,1,193.0,30.4339493498,3,6.0,5.0,95.0,54.0,36.0,22.0,12.0,12.0,14.0,5.0,7.0,64.0,41.0,34.0,7.0,12.0,1.0,4.0,1
15586,20160613,104559,Teymuraz Gabashvili,106233,Dominic Thiem,1,188.0,31.0581793292,1,185.0,22.7761806982,3,3.0,0.0,63.0,36.0,19.0,12.0,8.0,4.0,8.0,5.0,0.0,46.0,33.0,23.0,10.0,9.0,2.0,3.0,2
15587,20160613,103333,Ivo Karlovic,104259,Philipp Kohlschreiber,1,208.0,37.2895277207,1,178.0,32.659822039699996,3,26.0,6.0,121.0,84.0,61.0,20.0,17.0,5.0,7.0,9.0,2.0,86.0,55.0,49.0,25.0,17.0,0.0,0.0,2
15588,20160613,100644,Alexander Zverev,103794,Benjamin Becker,1,198.0,19.1485284052,1,178.0,34.9924709103,3,2.0,2.0,58.0,31.0,20.0,14.0,8.0,3.0,5.0,3.0,1.0,38.0,25.0,12.0,5.0,7.0,1.0,5.0,1
15589,20160613,104571,Marcos Baghdatis,104460,Dustin Brown,1,183.0,30.989733059499997,1,196.0,31.512662559899997,3,10.0,3.0,68.0,36.0,32.0,23.0,12.0,1.0,1.0,6.0,4.0,82.0,46.0,35.0,21.0,12.0,3.0,4.0,1
15593,20160613,100644,Alexander Zverev,104571,Marcos Baghdatis,1,198.0,19.1485284052,1,183.0,30.989733059499997,3,11.0,3.0,72.0,43.0,39.0,15.0,11.0,0.0,0.0,2.0,2.0,62.0,38.0,30.0,16.0,10.0,0.0,1.0,1
15591,20160613,104291,Malek Jaziri,103819,Roger Federer,1,185.0,32.3969883641,1,185.0,34.8473648186,3,3.0,3.0,56.0,25.0,21.0,14.0,10.0,1.0,4.0,5.0,0.0,58.0,39.0,31.0,10.0,11.0,1.0,2.0,2
15592,20160613,104252,Florian Mayer,104312,Andreas Seppi,1,190.0,32.6899383984,1,190.0,32.3093771389,3,16.0,0.0,62.0,43.0,37.0,12.0,11.0,0.0,0.0,4.0,1.0,61.0,40.0,32.0,13.0,10.0,4.0,5.0,1
15594,20160613,105676,David Goffin,103819,Roger Federer,1,163.0,25.5167693361,1,185.0,34.8473648186,3,2.0,2.0,78.0,46.0,26.0,12.0,10.0,8.0,14.0,6.0,2.0,53.0,36.0,28.0,7.0,9.0,0.0,3.0,2
15595,20160613,106233,Dominic Thiem,104252,Florian Mayer,1,185.0,22.7761806982,1,190.0,32.6899383984,3,8.0,4.0,70.0,42.0,26.0,13.0,9.0,8.0,11.0,5.0,0.0,46.0,29.0,23.0,13.0,10.0,0.0,1.0,2
15584,20160613,104291,Malek Jaziri,105575,Ricardas Berankis,1,185.0,32.3969883641,1,175.0,25.9794661191,3,4.0,2.0,76.0,47.0,36.0,18.0,11.0,6.0,6.0,4.0,1.0,65.0,42.0,34.0,10.0,11.0,1.0,3.0,1
15585,20160613,104312,Andreas Seppi,105216,Yuichi Sugita,1,190.0,32.3093771389,1,173.0,27.7344284736,3,4.0,1.0,41.0,26.0,24.0,8.0,8.0,0.0,0.0,3.0,2.0,48.0,33.0,19.0,4.0,7.0,1.0,5.0,1
15575,20160613,105311,Joao Sousa,106233,Dominic Thiem,1,185.0,27.2060232717,1,185.0,22.7761806982,3,2.0,1.0,76.0,51.0,39.0,10.0,11.0,1.0,3.0,6.0,2.0,63.0,34.0,27.0,20.0,11.0,1.0,1.0,2
15583,20160613,104660,Sergiy Stakhovsky,106045,Denis Kudla,1,193.0,30.4339493498,1,180.0,23.8220396988,3,19.0,2.0,93.0,57.0,45.0,21.0,16.0,2.0,4.0,10.0,1.0,95.0,64.0,45.0,15.0,15.0,9.0,12.0,1
15582,20160613,104607,Tomas Berdych,104571,Marcos Baghdatis,1,196.0,30.7378507871,1,183.0,30.989733059499997,3,9.0,5.0,94.0,63.0,46.0,10.0,12.0,4.0,6.0,10.0,0.0,76.0,43.0,32.0,20.0,12.0,2.0,4.0,2
15581,20160613,104460,Dustin Brown,105077,Albert Ramos,1,196.0,31.512662559899997,0,188.0,28.4052019165,3,8.0,10.0,66.0,35.0,31.0,13.0,10.0,7.0,8.0,4.0,4.0,88.0,62.0,40.0,9.0,11.0,9.0,13.0,1
15580,20160613,103794,Benjamin Becker,105208,Ernests Gulbis,1,178.0,34.9924709103,1,190.0,27.786447638600002,3,7.0,1.0,67.0,36.0,29.0,15.0,10.0,5.0,6.0,12.0,8.0,70.0,38.0,27.0,12.0,11.0,7.0,11.0,1
15579,20160613,104678,Viktor Troicki,100644,Alexander Zverev,1,193.0,30.338124572199998,1,198.0,19.1485284052,3,4.0,5.0,55.0,36.0,26.0,8.0,10.0,0.0,3.0,5.0,1.0,71.0,43.0,30.0,17.0,10.0,5.0,6.0,2
15578,20160613,104719,Marcel Granollers,104259,Philipp Kohlschreiber,1,190.0,30.1711156742,1,178.0,32.659822039699996,3,3.0,1.0,77.0,54.0,38.0,5.0,10.0,9.0,13.0,5.0,0.0,72.0,42.0,32.0,15.0,10.0,4.0,6.0,2
15577,20160613,105723,Andrey Kuznetsov,103333,Ivo Karlovic,1,185.0,25.305954825500002,1,208.0,37.2895277207,3,9.0,2.0,60.0,32.0,27.0,17.0,10.0,3.0,4.0,26.0,2.0,68.0,46.0,38.0,15.0,11.0,0.0,0.0,2
15576,20160613,103893,Paolo Lorenzi,104559,Teymuraz Gabashvili,1,183.0,34.4941820671,1,188.0,31.0581793292,3,0.0,0.0,42.0,24.0,9.0,11.0,8.0,2.0,6.0,5.0,0.0,58.0,34.0,27.0,9.0,9.0,0.0,1.0,2
15574,20160613,104312,Andreas Seppi,103970,David Ferrer,1,190.0,32.3093771389,1,175.0,34.1984941821,3,4.0,0.0,60.0,38.0,29.0,11.0,10.0,3.0,4.0,2.0,4.0,54.0,35.0,25.0,6.0,9.0,2.0,5.0,1
15573,20160613,104548,Brian Baker,104252,Florian Mayer,1,190.0,31.1211498973,1,190.0,32.6899383984,3,4.0,5.0,81.0,57.0,39.0,9.0,12.0,3.0,5.0,11.0,1.0,79.0,48.0,36.0,16.0,12.0,2.0,3.0,2
15572,20160613,105453,Kei Nishikori,106298,Lucas Pouille,1,178.0,26.4558521561,1,185.0,22.302532512,3,6.0,1.0,83.0,55.0,43.0,19.0,15.0,1.0,2.0,5.0,1.0,86.0,47.0,34.0,19.0,14.0,4.0,8.0,1
15597,20160613,104252,Florian Mayer,100644,Alexander Zverev,1,190.0,32.6899383984,1,198.0,19.1485284052,3,3.0,0.0,98.0,63.0,44.0,19.0,15.0,2.0,4.0,8.0,6.0,79.0,49.0,36.0,12.0,14.0,2.0,6.0,1
15596,20160613,100644,Alexander Zverev,103819,Roger Federer,1,198.0,19.1485284052,1,185.0,34.8473648186,3,8.0,4.0,104.0,68.0,54.0,23.0,17.0,6.0,7.0,7.0,2.0,97.0,58.0,46.0,21.0,16.0,2.0,3.0,1
15611,20160613,103917,Nicolas Mahut,104918,Andy Murray,1,190.0,34.392881588,1,190.0,29.0814510609,3,4.0,2.0,81.0,56.0,43.0,10.0,12.0,2.0,4.0,15.0,0.0,80.0,57.0,46.0,12.0,12.0,3.0,5.0,2
15598,20160613,104527,Stan Wawrinka,104269,Fernando Verdasco,1,183.0,31.2114989733,0,188.0,32.5776865161,3,3.0,3.0,64.0,34.0,23.0,18.0,10.0,4.0,6.0,3.0,6.0,77.0,50.0,39.0,14.0,10.0,8.0,8.0,2
15599,20160613,106071,Bernard Tomic,104731,Kevin Anderson,1,193.0,23.6440793977,1,203.0,30.0725530459,3,5.0,1.0,54.0,38.0,30.0,10.0,10.0,3.0,4.0,8.0,3.0,48.0,29.0,20.0,10.0,9.0,2.0,5.0,1
15623,20160613,105683,Milos Raonic,104918,Andy Murray,1,196.0,25.4620123203,1,190.0,29.0814510609,3,14.0,3.0,93.0,68.0,53.0,11.0,16.0,3.0,7.0,6.0,1.0,84.0,62.0,52.0,10.0,15.0,0.0,1.0,2
15622,20160613,104918,Andy Murray,105227,Marin Cilic,1,190.0,29.0814510609,1,198.0,27.7070499658,3,14.0,1.0,83.0,60.0,48.0,11.0,14.0,5.0,6.0,8.0,1.0,88.0,51.0,32.0,23.0,14.0,7.0,10.0,1
15621,20160613,106071,Bernard Tomic,105683,Milos Raonic,1,193.0,23.6440793977,1,196.0,25.4620123203,3,2.0,3.0,59.0,41.0,33.0,7.0,10.0,4.0,6.0,12.0,1.0,51.0,35.0,30.0,11.0,10.0,1.0,1.0,2
15619,20160613,105683,Milos Raonic,105138,Roberto Bautista Agut,1,196.0,25.4620123203,1,183.0,28.164271047199996,3,19.0,2.0,49.0,33.0,30.0,7.0,9.0,1.0,1.0,0.0,1.0,45.0,26.0,17.0,9.0,8.0,3.0,6.0,1
15618,20160613,104180,Gilles Muller,106071,Bernard Tomic,0,193.0,33.0978781656,1,193.0,23.6440793977,3,26.0,3.0,92.0,63.0,52.0,12.0,15.0,6.0,8.0,16.0,0.0,84.0,63.0,53.0,13.0,15.0,3.0,4.0,2
15617,20160613,104918,Andy Murray,105379,Aljaz Bedene,1,190.0,29.0814510609,1,181.0,26.904859685100003,3,6.0,2.0,57.0,36.0,32.0,9.0,10.0,1.0,2.0,11.0,0.0,69.0,45.0,28.0,10.0,9.0,6.0,9.0,1
15616,20160613,105173,Adrian Mannarino,105449,Steve Johnson,0,183.0,27.956194387399997,1,188.0,26.46954141,3,10.0,6.0,92.0,59.0,44.0,13.0,14.0,3.0,6.0,14.0,1.0,92.0,55.0,40.0,19.0,15.0,2.0,4.0,2
15615,20160613,104386,Janko Tipsarevic,105227,Marin Cilic,1,180.0,31.9753593429,1,198.0,27.7070499658,3,4.0,3.0,47.0,24.0,16.0,11.0,9.0,2.0,5.0,10.0,1.0,57.0,34.0,31.0,11.0,9.0,3.0,3.0,2
15614,20160613,105385,Donald Young,105138,Roberto Bautista Agut,0,183.0,26.8911704312,1,183.0,28.164271047199996,3,4.0,2.0,51.0,41.0,28.0,2.0,9.0,7.0,10.0,4.0,1.0,59.0,39.0,29.0,13.0,9.0,5.0,5.0,2
15613,20160613,104180,Gilles Muller,104545,John Isner,0,193.0,33.0978781656,1,206.0,31.1321013005,3,26.0,6.0,121.0,77.0,61.0,28.0,16.0,0.0,1.0,43.0,3.0,124.0,95.0,81.0,13.0,17.0,5.0,5.0,1
15612,20160613,106071,Bernard Tomic,104269,Fernando Verdasco,1,193.0,23.6440793977,0,188.0,32.5776865161,3,3.0,1.0,89.0,61.0,49.0,15.0,16.0,1.0,3.0,21.0,8.0,133.0,78.0,49.0,28.0,16.0,6.0,10.0,1
15620,20160613,105227,Marin Cilic,105449,Steve Johnson,1,198.0,27.7070499658,1,188.0,26.46954141,3,9.0,1.0,90.0,52.0,45.0,24.0,16.0,3.0,3.0,10.0,1.0,80.0,57.0,48.0,13.0,15.0,2.0,4.0,1
15610,20160613,105379,Aljaz Bedene,105332,Benoit Paire,1,181.0,26.904859685100003,1,196.0,27.099247091,3,9.0,2.0,126.0,88.0,59.0,21.0,17.0,5.0,9.0,17.0,8.0,146.0,78.0,56.0,28.0,17.0,17.0,22.0,1
15604,20160613,105023,Sam Querrey,105138,Roberto Bautista Agut,1,198.0,28.684462696799997,1,183.0,28.164271047199996,3,27.0,2.0,103.0,66.0,56.0,22.0,18.0,2.0,3.0,5.0,2.0,135.0,89.0,66.0,26.0,18.0,10.0,11.0,2
15609,20160613,105554,Daniel Evans,103908,Paul Henri Mathieu,1,175.0,26.058863791900002,1,185.0,34.417522245,3,13.0,4.0,112.0,64.0,49.0,23.0,16.0,4.0,7.0,6.0,7.0,126.0,73.0,55.0,28.0,17.0,7.0,9.0,2
15600,20160613,104180,Gilles Muller,104868,James Ward,0,193.0,33.0978781656,1,190.0,29.3415468857,3,9.0,0.0,47.0,32.0,28.0,12.0,10.0,0.0,0.0,9.0,1.0,54.0,31.0,23.0,13.0,10.0,1.0,3.0,1
15602,20160613,106401,Nick Kyrgios,105683,Milos Raonic,1,193.0,21.1307323751,1,196.0,25.4620123203,3,17.0,4.0,128.0,85.0,60.0,21.0,16.0,9.0,11.0,20.0,2.0,88.0,58.0,50.0,19.0,16.0,2.0,2.0,2
15603,20160613,105385,Donald Young,105577,Vasek Pospisil,0,183.0,26.8911704312,1,193.0,25.9739904175,3,3.0,5.0,66.0,36.0,31.0,17.0,10.0,9.0,9.0,4.0,1.0,52.0,37.0,27.0,5.0,9.0,0.0,2.0,1
15601,20160613,105223,Juan Martin del Potro,104545,John Isner,1,198.0,27.720739219699997,1,206.0,31.1321013005,3,5.0,2.0,65.0,44.0,34.0,10.0,11.0,0.0,1.0,25.0,2.0,77.0,59.0,47.0,8.0,11.0,6.0,6.0,2
15605,20160613,105227,Marin Cilic,103852,Feliciano Lopez,1,198.0,27.7070499658,0,188.0,34.7296372348,3,17.0,6.0,98.0,53.0,42.0,24.0,15.0,4.0,6.0,12.0,2.0,82.0,49.0,35.0,19.0,14.0,4.0,7.0,1
15606,20160613,105777,Grigor Dimitrov,104386,Janko Tipsarevic,1,188.0,25.078713210100002,1,180.0,31.9753593429,3,10.0,6.0,93.0,63.0,49.0,17.0,15.0,2.0,3.0,4.0,1.0,112.0,65.0,48.0,25.0,16.0,7.0,8.0,2
15607,20160613,104198,Guillermo Garcia Lopez,105173,Adrian Mannarino,1,188.0,33.0266940452,0,183.0,27.956194387399997,3,4.0,4.0,73.0,39.0,26.0,15.0,9.0,5.0,8.0,6.0,2.0,47.0,36.0,32.0,4.0,9.0,0.0,0.0,2
15608,20160613,105449,Steve Johnson,104755,Richard Gasquet,1,188.0,26.46954141,1,185.0,29.9876796715,3,9.0,3.0,73.0,44.0,33.0,14.0,10.0,6.0,8.0,0.0,0.0,65.0,46.0,28.0,7.0,10.0,2.0,6.0,1
15550,20160606,104180,Gilles Muller,103333,Ivo Karlovic,0,193.0,33.078713210100005,1,208.0,37.2703627652,3,22.0,1.0,68.0,51.0,49.0,11.0,12.0,0.0,0.0,21.0,6.0,72.0,47.0,42.0,15.0,12.0,0.0,0.0,1
15541,20160606,103917,Nicolas Mahut,103908,Paul Henri Mathieu,1,190.0,34.3737166324,1,185.0,34.3983572895,3,8.0,5.0,83.0,55.0,43.0,15.0,14.0,1.0,2.0,8.0,1.0,74.0,44.0,31.0,15.0,13.0,4.0,7.0,1
15549,20160606,105023,Sam Querrey,103917,Nicolas Mahut,1,198.0,28.6652977413,1,190.0,34.3737166324,3,19.0,1.0,98.0,64.0,50.0,20.0,16.0,6.0,8.0,4.0,2.0,92.0,54.0,42.0,28.0,16.0,2.0,2.0,2
15548,20160606,103970,David Ferrer,104180,Gilles Muller,1,175.0,34.1793292266,0,193.0,33.078713210100005,3,3.0,3.0,102.0,63.0,45.0,29.0,16.0,4.0,5.0,17.0,5.0,107.0,66.0,52.0,21.0,16.0,4.0,5.0,2
15547,20160606,105173,Adrian Mannarino,103333,Ivo Karlovic,0,183.0,27.9370294319,1,208.0,37.2703627652,3,4.0,5.0,54.0,30.0,24.0,10.0,9.0,4.0,6.0,22.0,4.0,54.0,36.0,33.0,11.0,10.0,3.0,3.0,2
15546,20160606,103917,Nicolas Mahut,106071,Bernard Tomic,1,190.0,34.3737166324,1,193.0,23.624914442199998,3,12.0,3.0,96.0,61.0,52.0,14.0,15.0,3.0,4.0,14.0,5.0,84.0,49.0,36.0,17.0,15.0,3.0,7.0,1
15545,20160606,104534,Dudi Sela,103970,David Ferrer,1,175.0,31.1731690623,1,175.0,34.1793292266,3,1.0,3.0,63.0,32.0,19.0,13.0,10.0,5.0,10.0,1.0,3.0,79.0,54.0,32.0,13.0,10.0,10.0,13.0,2
15544,20160606,104198,Guillermo Garcia Lopez,104180,Gilles Muller,1,188.0,33.0075290897,0,193.0,33.078713210100005,3,2.0,5.0,62.0,34.0,25.0,11.0,9.0,5.0,8.0,13.0,1.0,56.0,33.0,26.0,16.0,10.0,2.0,2.0,2
15543,20160606,103333,Ivo Karlovic,104997,Igor Sijsling,1,208.0,37.2703627652,1,190.0,28.802190280599998,3,20.0,2.0,81.0,57.0,47.0,14.0,12.0,1.0,1.0,2.0,3.0,78.0,50.0,41.0,18.0,12.0,0.0,0.0,1
15536,20160606,105023,Sam Querrey,103794,Benjamin Becker,1,198.0,28.6652977413,1,178.0,34.9733059548,3,12.0,2.0,70.0,40.0,36.0,21.0,12.0,0.0,0.0,5.0,5.0,77.0,41.0,33.0,22.0,12.0,0.0,0.0,1
15540,20160606,105379,Aljaz Bedene,106071,Bernard Tomic,1,181.0,26.8856947296,1,193.0,23.624914442199998,3,9.0,2.0,59.0,40.0,26.0,8.0,9.0,3.0,6.0,8.0,2.0,67.0,45.0,29.0,15.0,10.0,3.0,4.0,2
15539,20160606,105577,Vasek Pospisil,104198,Guillermo Garcia Lopez,1,193.0,25.954825462,1,188.0,33.0075290897,3,6.0,5.0,66.0,33.0,23.0,16.0,10.0,2.0,5.0,7.0,3.0,60.0,32.0,28.0,17.0,10.0,3.0,4.0,2
15538,20160606,104180,Gilles Muller,104898,Robin Haase,0,193.0,33.078713210100005,1,190.0,29.1690622861,3,24.0,4.0,71.0,52.0,43.0,11.0,11.0,5.0,5.0,8.0,2.0,74.0,53.0,40.0,10.0,11.0,3.0,4.0,1
15537,20160606,105173,Adrian Mannarino,104312,Andreas Seppi,0,183.0,27.9370294319,1,190.0,32.2902121834,3,6.0,3.0,78.0,46.0,34.0,18.0,10.0,7.0,7.0,5.0,6.0,70.0,35.0,27.0,16.0,10.0,7.0,9.0,1
15535,20160606,105147,Tatsuma Ito,104471,Ivan Dodig,1,180.0,28.052019165,1,183.0,31.425051334699997,3,6.0,3.0,62.0,45.0,32.0,8.0,11.0,3.0,5.0,8.0,3.0,55.0,34.0,22.0,10.0,11.0,0.0,4.0,1
15534,20160606,105041,Lukas Lacko,103917,Nicolas Mahut,1,185.0,28.59137577,1,190.0,34.3737166324,3,2.0,1.0,49.0,27.0,19.0,9.0,8.0,2.0,5.0,4.0,2.0,50.0,32.0,26.0,12.0,9.0,2.0,2.0,2
15533,20160606,103908,Paul Henri Mathieu,104330,Rajeev Ram,1,185.0,34.3983572895,1,193.0,32.219028063,3,3.0,3.0,54.0,33.0,28.0,14.0,10.0,0.0,0.0,5.0,1.0,53.0,30.0,24.0,12.0,10.0,3.0,5.0,1
15552,20160606,104797,Denis Istomin,103285,Radek Stepanek,1,188.0,29.7467488022,1,185.0,37.524982888400004,3,9.0,4.0,84.0,50.0,37.0,14.0,15.0,1.0,5.0,8.0,7.0,97.0,57.0,46.0,14.0,15.0,7.0,10.0,2
15551,20160606,103917,Nicolas Mahut,104180,Gilles Muller,1,190.0,34.3737166324,0,193.0,33.078713210100005,3,7.0,1.0,66.0,47.0,34.0,10.0,10.0,3.0,4.0,9.0,1.0,62.0,38.0,25.0,10.0,10.0,0.0,3.0,1
15542,20160606,105147,Tatsuma Ito,105023,Sam Querrey,1,180.0,28.052019165,1,198.0,28.6652977413,3,3.0,1.0,51.0,33.0,23.0,9.0,9.0,2.0,4.0,11.0,1.0,51.0,34.0,30.0,10.0,10.0,0.0,0.0,2
15553,20160606,105583,Dusan Lajovic,106045,Denis Kudla,1,180.0,25.9356605065,1,180.0,23.8028747433,3,3.0,2.0,47.0,32.0,17.0,2.0,7.0,3.0,8.0,3.0,0.0,36.0,23.0,20.0,8.0,7.0,0.0,0.0,2
15563,20160606,104660,Sergiy Stakhovsky,104022,Mikhail Youzhny,1,193.0,30.4147843943,1,183.0,33.9493497604,3,7.0,3.0,62.0,28.0,22.0,17.0,10.0,1.0,3.0,3.0,1.0,65.0,46.0,35.0,12.0,11.0,1.0,2.0,2
15554,20160606,104259,Philipp Kohlschreiber,105732,Pierre Hugues Herbert,1,178.0,32.6406570842,1,188.0,25.2210814511,3,7.0,1.0,40.0,25.0,22.0,10.0,8.0,0.0,0.0,4.0,4.0,56.0,28.0,16.0,13.0,9.0,3.0,7.0,1
15571,20160606,106233,Dominic Thiem,104259,Philipp Kohlschreiber,1,185.0,22.757015742600004,1,178.0,32.6406570842,3,12.0,6.0,104.0,50.0,45.0,28.0,16.0,5.0,5.0,14.0,3.0,106.0,57.0,40.0,30.0,16.0,7.0,9.0,1
15570,20160606,106233,Dominic Thiem,103819,Roger Federer,1,185.0,22.757015742600004,1,185.0,34.8281998631,3,9.0,6.0,102.0,62.0,46.0,19.0,15.0,5.0,8.0,9.0,2.0,109.0,69.0,52.0,17.0,16.0,2.0,5.0,1
15569,20160606,104259,Philipp Kohlschreiber,105223,Juan Martin del Potro,1,178.0,32.6406570842,1,198.0,27.7015742642,3,9.0,2.0,53.0,29.0,27.0,12.0,9.0,1.0,1.0,6.0,1.0,60.0,40.0,27.0,10.0,10.0,6.0,9.0,1
15568,20160606,104252,Florian Mayer,103819,Roger Federer,1,190.0,32.670773442800005,1,185.0,34.8281998631,3,5.0,0.0,84.0,55.0,37.0,17.0,12.0,5.0,6.0,15.0,3.0,79.0,49.0,43.0,15.0,12.0,5.0,6.0,2
15567,20160606,106233,Dominic Thiem,104022,Mikhail Youzhny,1,185.0,22.757015742600004,1,183.0,33.9493497604,3,11.0,9.0,81.0,49.0,42.0,15.0,15.0,3.0,5.0,6.0,0.0,92.0,64.0,45.0,17.0,16.0,4.0,7.0,1
15565,20160606,103285,Radek Stepanek,104259,Philipp Kohlschreiber,1,185.0,37.524982888400004,1,178.0,32.6406570842,3,9.0,2.0,77.0,50.0,33.0,15.0,11.0,3.0,5.0,10.0,2.0,79.0,38.0,30.0,23.0,11.0,5.0,5.0,2
15564,20160606,104252,Florian Mayer,103582,Michael Berrer,1,190.0,32.670773442800005,0,193.0,35.9315537303,3,9.0,3.0,86.0,62.0,47.0,10.0,14.0,1.0,3.0,10.0,3.0,97.0,68.0,51.0,7.0,14.0,7.0,10.0,1
15566,20160606,105223,Juan Martin del Potro,104468,Gilles Simon,1,198.0,27.7015742642,1,183.0,31.4414784394,3,8.0,4.0,77.0,57.0,46.0,14.0,14.0,2.0,2.0,7.0,4.0,94.0,46.0,33.0,24.0,13.0,6.0,10.0,1
15561,20160606,104259,Philipp Kohlschreiber,106045,Denis Kudla,1,178.0,32.6406570842,1,180.0,23.8028747433,3,10.0,4.0,67.0,37.0,31.0,14.0,11.0,4.0,5.0,2.0,2.0,55.0,31.0,21.0,13.0,10.0,2.0,5.0,1
15560,20160606,103285,Radek Stepanek,105227,Marin Cilic,1,185.0,37.524982888400004,1,198.0,27.6878850103,3,10.0,6.0,74.0,46.0,42.0,13.0,12.0,1.0,1.0,12.0,1.0,72.0,37.0,31.0,20.0,12.0,1.0,2.0,1
15559,20160606,103582,Michael Berrer,104291,Malek Jaziri,0,193.0,35.9315537303,1,185.0,32.3778234086,3,14.0,0.0,88.0,60.0,46.0,20.0,15.0,6.0,7.0,7.0,2.0,104.0,62.0,42.0,22.0,15.0,6.0,10.0,1
15558,20160606,104252,Florian Mayer,104678,Viktor Troicki,1,190.0,32.670773442800005,1,193.0,30.3189596167,3,3.0,0.0,60.0,42.0,35.0,11.0,11.0,1.0,2.0,10.0,4.0,61.0,34.0,26.0,13.0,11.0,0.0,2.0,1
